Surname,australian_gp,chinese_gp,japanese_gp,bahrain_gp,saudi_gp,miami_gp,emilia_gp,monaco_gp,spanish_gp,canadian_gp,austrian_gp,british_gp,belgian_gp,hungarian_gp,dutch_gp,italian_gp,azerbaijan_gp,singapore_gp,unitedstates_gp,mexicocity_gp,brazilian_gp,lasvegas_gp,qatar_gp,abudhabi_gp
Albon,1.0,10.0,-2.0,0.0,-5.0,-2.0,2.0,-4.0,8.0,1.0,8.0,-7.0,7.0,-6.0,-6.0,-4.0,-12.0,-9.0,1.0,-1.0,8.0,-13.0,-8.0,-7.0
Alonso,5.0,7.0,2.0,1.0,1.0,-7.0,6.0,5.0,-2.0,14.0,0.0,8.0,-10.0,1.0,9.0,3.0,3.0,5.0,-6.0,6.0,-7.0,2.0,-5.0,-2.0
Antonelli,-11.0,12.0,7.0,1.0,5.0,6.0,-9.0,-5.0,1.0,16.0,-2.0,7.0,-12.0,-10.0,-2.0,2.0,1.0,0.0,13.0,1.0,18.0,-11.0,5.0,-5.0
Bearman,-1.0,3.0,6.0,-4.0,1.0,-4.0,-7.0,-4.0,5.0,2.0,5.0,-2.0,8.0,0.0,-4.0,9.0,-7.0,5.0,12.0,7.0,12.0,-3.0,2.0,-4.0
Bortoleto,-4.0,1.0,0.0,0.0,-1.0,2.0,2.0,3.0,-1.0,8.0,2.0,-1.0,3.0,2.0,-5.0,-2.0,5.0,-2.0,4.0,-6.0,0.0,-5.0,2.0,4.0
Colapinto,,,,,,,3.0,0.0,-2.0,3.0,3.0,-2.0,2.0,6.0,2.0,-4.0,-1.0,0.0,5.0,-1.0,2.0,1.0,0.0,-1.0
Doohan,1.0,2.0,-5.0,1.0,-2.0,5.0,,,,,,,,,,,,,,,,,,
Gasly,3.0,4.0,-3.0,1.0,-1.0,-1.0,5.0,-4.0,8.0,4.0,10.0,10.0,4.0,-1.0,3.0,1.0,1.0,1.0,6.0,0.0,11.0,0.0,9.0,-2.0
Hadjar,2.0,13.0,3.0,-5.0,-3.0,-5.0,-2.0,11.0,-3.0,0.0,7.0,-4.0,2.0,3.0,10.0,-8.0,3.0,-1.0,0.0,-3.0,15.0,-4.0,-1.0,7.0
Hamilton,0.0,15.0,-2.0,1.0,5.0,1.0,-2.0,-15.0,4.0,15.0,1.0,6.0,-9.0,-9.0,1.0,2.0,-8.0,2.0,15.0,-1.0,7.0,-15.0,-6.0,2.0
Hulkenberg,-1.0,8.0,4.0,3.0,-1.0,-2.0,2.0,0.0,-4.0,7.0,8.0,-4.0,0.0,-6.0,-6.0,-1.0,-5.0,-2.0,-9.0,1.0,-7.0,6.0,0.0,-5.0
Lawson,2.0,0.0,-2.0,-4.0,1.0,-4.0,-2.0,-2.0,-3.0,10.0,4.0,-6.0,6.0,6.0,5.0,0.0,6.0,8.0,8.0,-4.0,13.0,1.0,7.0,2.0
Leclerc,-3.0,14.0,0.0,0.0,1.0,-6.0,-6.0,-1.0,-4.0,12.0,2.0,-5.0,2.0,2.0,0.0,-2.0,0.0,3.0,17.0,0.0,17.0,6.0,-2.0,3.0
Norris,9.0,17.0,-1.0,-4.0,-19.0,10.0,-3.0,2.0,0.0,13.0,0.0,1.0,2.0,-1.0,-1.0,-1.0,-6.0,0.0,-1.0,0.0,0.0,19.0,0.0,0.0
Ocon,-1.0,9.0,0.0,-9.0,-1.0,9.0,2.0,10.0,1.0,6.0,6.0,-2.0,5.0,-1.0,-2.0,5.0,-3.0,-4.0,3.0,0.0,3.0,1.0,0.0,-2.0
Piastri,-1.0,19.0,-1.0,0.0,0.0,-3.0,1.0,1.0,0.0,17.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-6.0,-1.0,-3.0,-3.0,-2.0,14.0,0.0,2.0
Russell,-2.0,18.0,-2.0,2.0,0.0,2.0,5.0,-3.0,0.0,19.0,3.0,4.0,-2.0,4.0,-2.0,-1.0,1.0,2.0,16.0,-1.0,14.0,-3.0,10.0,-3.0
Sainz,-4.0,5.0,-9.0,1.0,1.0,-2.0,0.0,-3.0,-5.0,9.0,0.0,1.0,-4.0,4.0,-5.0,0.0,11.0,-14.0,11.0,8.0,5.0,9.0,-3.0,0.0
Stroll,1.0,6.0,-1.0,-2.0,4.0,1.0,5.0,-5.0,1.0,5.0,-10.0,1.0,-12.0,1.0,-8.0,3.0,6.0,2.0,2.0,-6.0,6.0,-4.0,-10.0,-1.0
Tsunoda,4.0,11.0,-6.0,10.0,1.0,-2.0,-3.0,-3.0,-6.0,0.0,2.0,-7.0,11.0,2.0,8.0,5.0,10.0,5.0,7.0,-2.0,1.0,-1.0,-3.0,10.0
Verstappen,0.0,16.0,4.0,1.0,3.0,2.0,1.0,-3.0,2.0,18.0,-4.0,2.0,-2.0,4.0,2.0,3.0,1.0,-1.0,19.0,-1.0,4.0,0.0,3.0,2.0
