Round,Grand Prix,Date,Winner (Race),2nd Place,3rd Place,Pole Position (Qualifying)
1,Australian GP,16-Mar,L. Norris (McLaren),M. Verstappen,G. Russell,L. Norris
2,Chinese GP,23-Mar,O. Piastri (McLaren),L. Norris,G. Russell,O. Piastri
3,Japanese GP,06-Apr,M. Verstappen (Red Bull),L. Norris,O. Piastri,M. Verstappen
4,Bahrain GP,13-Apr,O. Piastri (McLaren),G. Russell,L. Norris,O. Piastri
5,Saudi GP,20-Apr,O. Piastri (McLaren),M. Verstappen,C. Leclerc,M. Verstappen
6,Miami GP,04-May,O. Piastri (McLaren),L. Norris,G. Russell,M. Verstappen
7,Emilia GP,18-May,M. Verstappen (Red Bull),L. Norris,O. Piastri,O. Piastri
8,Monaco GP,25-May,L. Norris (McLaren),C. Leclerc,O. Piastri,L. Norris
9,Spanish GP,01-Jun,O. Piastri (McLaren),L. Norris,C. Leclerc,O. Piastri
10,Canadian GP,15-Jun,G. Russell (Mercedes),M. Verstappen,K. Antonelli,G. Russell
11,Austrian GP,29-Jun,L. Norris (McLaren),O. Piastri,C. Leclerc,L. Norris
12,British GP,06-Jul,L. Norris (McLaren),O. Piastri,N. Hulkenberg,M. Verstappen
13,Belgian GP,27-Jul,O. Piastri (McLaren),L. Norris,C. Leclerc,L. Norris
14,Hungarian GP,03-Aug,L. Norris (McLaren),O. Piastri,G. Russell,C. Leclerc
15,Dutch GP,31-Aug,O. Piastri (McLaren),M. Verstappen,I. Hadjar,O. Piastri
16,Italian GP,07-Sep,M. Verstappen (Red Bull),L. Norris,O. Piastri,M. Verstappen
17,Azerbaijan GP,21-Sep,M. Verstappen (Red Bull),G. Russell,C. Sainz,M. Verstappen
18,Singapore GP,05-Oct,G. Russell (Mercedes),M. Verstappen,L. Norris,C. Leclerc
19,UnitedStates GP,19-Oct,M. Verstappen (Red Bull),L. Norris,C. Leclerc,M. Verstappen
20,MexicoCity GP,26-Oct,L. Norris (McLaren),C. Leclerc,M. Verstappen,L. Norris
21,Brazilian GP,09-Nov,L. Norris (McLaren),K. Antonelli,M. Verstappen,L. Norris
22,LasVegas GP,22-Nov,M. Verstappen (Red Bull),G. Russell,K. Antonelli,L. Norris
23,Qatar GP,30-Nov,M. Verstappen (Red Bull),O. Piastri,C. Sainz,O. Piastri
24,AbuDhabi GP,07-Dec,M. Verstappen (Red Bull),O. Piastri,L. Norris,M. Verstappen
