Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Verstappen,Max Verstappen,1,1,3,2,2
Piastri,Oscar Piastri,2,3,5,11,NC
Norris,Lando Norris,3,2,2,1,1
Leclerc,Charles Leclerc,4,5,8,8,3
Russell,George Russell,5,4,1,3,6
Alonso,Fernando Alonso,6,6,4,9,NC
Ocon,Esteban Ocon,7,8,6,16,NC
Hamilton,Lewis Hamilton,8,16,18,14,NC
Hulkenberg,Nico Hülkenberg,9,18,13,5,5
Stroll,Lance Stroll,10,15,14,12,NC
Bortoleto,Gabriel Bortoleto,11,7,11,6,7
Bearman,Oliver Bearman,12,11,7,4,NC
Sainz,Carlos Sainz,13,12,12,13,NC
Tsunoda,Yuki Tsunoda,14,10,20,17,NC
Antonelli,Kimi Antonelli,15,14,9,10,4
Albon,Alexander Albon,16,17,10,15,NC
Hadjar,Isack Hadjar,17,9,16,7,NC
Lawson,Liam Lawson,18,13,15,18,NC
Gasly,Pierre Gasly,19,19,17,20,NC
Colapinto,Franco Colapinto,20,20,19,19,NC
