Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Norris,Norris,1,1,10,3,1
Verstappen,Verstappen,2,3,3,7,5
Russell,Russell,3,4,2,10,7
Antonelli,Antonelli,4,16,5,16,14
Albon,Albon,5,6,7,12,6
Stroll,Stroll,6,13,14,9,10
Hulkenberg,Hulkenberg,7,17,16,8,18
Leclerc,Leclerc,8,7,4,1,3
Piastri,Piastri,9,2,1,2,4
Hamilton,Hamilton,10,8,8,5,12
Gasly,Gasly,11,9,12,15,17
Tsunoda,Tsunoda,12,5,9,4,11
Ocon,Ocon,13,19,18,19,19
Bearman,Bearman,14,20 (DNS),19,-,20
Lawson,Lawson,DNF,18,20,17,16
Bortoleto,Bortoleto,DNF,15,11,18,15
Alonso,Alonso,DNF,12,17,13,8
Sainz,Sainz,DNF,10,6,11,2
Doohan,Doohan,DNF,14,15,14,13
Hadjar,Hadjar,DNS,11,13,6,9
