Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Norris,Norris,1,1,1,1,-
Piastri,Piastri,2,3,2,2,-
Leclerc,Leclerc,3,2,4,5,-
Hamilton,Hamilton,4,4,5,8,-
Russell,Russell,5,5,8,6,1**
Lawson,Lawson,6,6,10,12,-
Alonso,Alonso,7,11,11,10,-
Bortoleto,Bortoleto,8,8,10,9,-
Hulkenberg,Hulkenberg,9,12,-,19,-
Ocon,Ocon,10,14,-,15,-
Bearman,Bearman,11,15,-,18,-
Hadjar,Hadjar,12,13,-,13,-
Gasly,Gasly,13,10,-,14,-
Stroll,Stroll,14,16,6,4,-
Colapinto,Colapinto,15*,17,-,20,-
Tsunoda,Tsunoda,16*,7,9,7,-
Verstappen,Verstappen,DNF,7,3,3,-
Antonelli,Antonelli,DNF,9,7,11,-
Albon,Albon,DNF,12,-,16,-
Sainz,Sainz,DNS,-,-,17,-
