Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Verstappen,Max Verstappen,1,1,2,6,7
Russell,George Russell,2,5,6,3,4
Sainz,Carlos Sainz,3,2,13,11,8
Antonelli,Kimi Antonelli,4,4,5,4,11
Lawson,Liam Lawson,5,3,9,7,9
Tsunoda,Yuki Tsunoda,6,6,16,14,6
Norris,Lando Norris,7,7,1,10,1
Hamilton,Lewis Hamilton,8,12,4,1,13
Leclerc,Charles Leclerc,9,10,10,2,3
Hadjar,Isack Hadjar,10,8,11,13,10
Bortoleto,Gabriel Bortoleto,11,13,18,15,14
Bearman,Oliver Bearman,12,15,8,5,16
Albon,Alexander Albon,13,19,7,9,5
Ocon,Esteban Ocon,14,DQ,17,8,18
Alonso,Fernando Alonso,15,11,14,19,15
Hulkenberg,Nico Hülkenberg,16,17,12,18,12
Stroll,Lance Stroll,17,14,20,17,17
Gasly,Pierre Gasly,18,18,19,16,20
Colapinto,Franco Colapinto,19,16,15,20,19
Piastri,Oscar Piastri,DNF,9,3,12,2
