Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Piastri,Piastri,1,1,1,1,10
Russell,Russell,2,2,4,3,-
Norris,Norris,3,6,2,2,1
Leclerc,Leclerc,4,3,3,4,-
Hamilton,Hamilton,5,9,10,8,3
Verstappen,Verstappen,6,7,8,7,-
Gasly,Gasly,7,5,6,17,2
Ocon,Ocon,8,14 (DNF Q2),11,16,5
Tsunoda,Tsunoda,9,10,20,18,9
Bearman,Bearman,10,20,16,9,-
Antonelli,Antonelli,11,4,5,5,20
Albon,Albon,12,15,15,11,4
Hadjar,Hadjar,13,12,7,6,12
Doohan,Doohan,14,11,12,14,7
Alonso,Alonso,15,13,14,15,-
Lawson,Lawson,16,17,13,12,8
Stroll,Stroll,17,19,17,19,15
Bortoleto,Bortoleto,18,18,18,13,11
Sainz,Sainz,DNF,8,9,10,-
Hulkenberg,Hulkenberg,DSQ,16,19,20,6
