Surname,Driver,race-result,qualifying,practice/1
Piastri,Piastri,1,2,1
Norris,Norris,2,1,3
Leclerc,Leclerc,3,3,5
Verstappen,Verstappen,4,4,2
Russell,Russell,5,6,4
Albon,Albon,6,5,12
Hamilton,Hamilton,7,16,7
Lawson,Lawson,8,9,15
Bortoleto,Bortoleto,9,10,13
Gasly,Gasly,10,13,17
Bearman,Bearman,11,12,20
Hulkenberg,Hulkenberg,12,14,14
Tsunoda,Tsunoda,13,7,18
Stroll,Stroll,14,20,8
Ocon,Ocon,15,11,16
Antonelli,Antonelli,16,18,6
Alonso,Alonso,17,19,9
Sainz,Sainz,18,15,11
Colapinto,Colapinto,19,17,19
Hadjar,Hadjar,20,8,10
