Surname,Driver,race-result,qualifying,practice/1
Norris,Lando Norris,1,1,1
Antonelli,Kimi Antonelli,2,2,NC
Verstappen,Max Verstappen,3,16,NC
Russell,George Russell,4,6,NC
Piastri,Oscar Piastri,5,4,2
Bearman,Oliver Bearman,6,8,NC
Lawson,Liam Lawson,7,7,NC
Hadjar,Isack Hadjar,8,5,NC
Hulkenberg,Nico Hülkenberg,9,10,3
Gasly,Pierre Gasly,10,9,NC
Albon,Alexander Albon,11,12,NC
Ocon,Esteban Ocon,12,17,NC
Sainz,Carlos Sainz,13,15,NC
Alonso,Fernando Alonso,14,11,4
Colapinto,Franco Colapinto,15,18,NC
Stroll,Lance Stroll,16,14,NC
Tsunoda,Yuki Tsunoda,17,19,NC
Hamilton,Lewis Hamilton,DNF,13,NC
Leclerc,Charles Leclerc,DNF,3,NC
Bortoleto,Gabriel Bortoleto,DNF,NC,NC
