Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Norris,Norris,1,3,4,1,2
Piastri,Piastri,2,2,2,4,3
Hulkenberg,Hulkenberg,3,19,15,17,-
Hamilton,Hamilton,4,5,11,3,1
Verstappen,Verstappen,5,1,3,5,10
Gasly,Gasly,6,10,20,18,19
Stroll,Stroll,7,18,19,7,12
Albon,Albon,8,14,7,11,7
Alonso,Alonso,9,9,17,12,11
Russell,Russell,10,4,8,8,5
Bearman,Bearman,11,8,6,19,18
Sainz,Sainz,12,11,12,16,13
Ocon,Ocon,13,15,13,14,15
Leclerc,Leclerc,14,6,1,2,4
Tsunoda,Tsunoda,15,12,5,15,-
Antonelli,Antonelli,DNF,7,14,6,9
Hadjar,Hadjar,DNF,13,9,9,6
Bortoleto,Bortoleto,DNF,17,16,13,20
Lawson,Lawson,DNF,16,10,10,8
Colapinto,Colapinto,DNS,20,18,20,16
