Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Russell,Russell,1,1,-,1,4
Verstappen,Verstappen,2,2,-,9,1
Antonelli,Antonelli,3,4,-,3,13
Piastri,Piastri,4,3,-,6,14
Leclerc,Leclerc,5,8,-,-,10
Hamilton,Hamilton,6,5,-,8,5
Alonso,Alonso,7,6,-,5,12
Hulkenberg,Hulkenberg,8,13,-,14,17**
Ocon,Ocon,9,14,-,17,-
Sainz,Sainz,10,11,-,7,3
Bearman,Bearman,11,18,-,16,-
Tsunoda,Tsunoda,12*,18*,-,15,11**
Gasly,Gasly,13,16,-,12,9
Bortoleto,Bortoleto,14,12,-,13,-
Hadjar,Hadjar,15,9*,-,11,6
Stroll,Stroll,16,15,-,18,15
Colapinto,Colapinto,17,17,-,18,-
Norris,Norris,DNF,7,-,2,7
Lawson,Lawson,DNF,10,-,10,8
Albon,Albon,DNF,19,-,4,2
