Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Piastri,Piastri,1,1,,,3
Norris,Norris,2,3,,,1
Russell,Russell,3,2,,,5
Verstappen,Verstappen,4,4,,,16
Ocon,Ocon,5,11,,,13
Antonelli,Antonelli,6,8,,,9
Albon,Albon,7,10,,,7
Bearman,Bearman,8,17,,,11
Stroll,Stroll,9,14,,,12
Sainz,Sainz,10,15,,,15
Hadjar,Hadjar,11,7,,,17
Lawson,Lawson,12,20,,,18
Doohan,Doohan,13,18,,,20
Bortoleto,Bortoleto,14,19,,,19
Hulkenberg,Hulkenberg,15,12,,,6
Tsunoda,Tsunoda,16,9,,,10
Alonso,Alonso,DNF,13,,,8
Leclerc,Leclerc,DSQ,6,,,2
Hamilton,Hamilton,DSQ,5,,,4
Gasly,Gasly,DSQ,16,,,14
