Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Piastri,Piastri,1,1,2,3,2
Verstappen,Verstappen,2,3,5,5,6
Hadjar,Hadjar,3,4,14,-,12
Russell,Russell,4,5,3,4,7
Albon,Albon,5,13,7,17,5
Bearman,Bearman,6*,19,15,11,19
Stroll,Stroll,7,20,12,18,3
Alonso,Alonso,8,10,19,2,4
Bortoleto,Bortoleto,9,15,10,13,9
Sainz,Sainz,10,9,4,16,8
Gasly,Gasly,11,14,17,19,10
Colapinto,Colapinto,12,16,18,9,20
Lawson,Lawson,13,8,13,14,11
Ocon,Ocon,14,18,16,15,18
Hulkenberg,Hulkenberg,15,17,11,10,13
Antonelli,Antonelli,16**,11,9,12,16
Tsunoda,Tsunoda,17,12,20,7,17
Norris,Norris,DNF,2,1,1,1
Leclerc,Leclerc,DNF,6,6,8,14
Hamilton,Hamilton,DNF,7,8,6,15
