Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Verstappen,Verstappen,1,2,3,5,7
Norris,Norris,2,4,1,2,2
Piastri,Piastri,3,1,2,1,1
Hamilton,Hamilton,4,12,10,11,5
Albon,Albon,5,7,9,9,8
Leclerc,Leclerc,6,11,5,4,12
Russell,Russell,7,3,8,4,4
Sainz,Sainz,8,6,6,10,3
Hadjar,Hadjar,9,9,7,7,19
Tsunoda,Tsunoda,10,20,17,8,16
Alonso,Alonso,11,5,11,14,14
Hulkenberg,Hulkenberg,12,17,19,19,10
Gasly,Gasly,13,10,15,3,6
Lawson,Lawson,14,16,14,15,15
Stroll,Stroll,15,8,13,17,11
Colapinto,Colapinto,16,15,18,13,17
Bearman,Bearman,17,19,12,12,18
Bortoleto,Bortoleto,18,14,16,16,9
Antonelli,Antonelli,DNF,13,4,18,13
Ocon,Ocon,DNF,18,20,20,20
