Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Norris,Norris,1,3,2,1,1
Piastri,Piastri,2,2,1,2,2
Russell,Russell,3,4,8,6,8
Leclerc,Leclerc,4*,1,3,3,3
Alonso,Alonso,5,5,6,13,16**
Bortoleto,Bortoleto,6,7,9,9,17**
Stroll,Stroll,7,6,7,11,10
Lawson,Lawson,8,9,15,8,14
Verstappen,Verstappen,9,8,12,15,9
Antonelli,Antonelli,10,15,5,5,7
Hadjar,Hadjar,11,10,13,4,4
Hamilton,Hamilton,12,13,4,7,5
Hulkenberg,Hulkenberg,13,16,10,14,12**
Sainz,Sainz,14,12,16,10,15
Albon,Albon,15,20,14,12,11
Ocon,Ocon,16,18,17,17,12
Tsunoda,Tsunoda,17,17,19,16,17
Colapinto,Colapinto,18,14,20,18,18
Gasly,Gasly,19,19,18,19,13
Bearman,Bearman,DNF,11,11,20,6
