Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Verstappen,Max Verstappen,1,1,4,6,4
Norris,Lando Norris,2,2,1,1,6
Piastri,Oscar Piastri,3,3,3,4,NC
Leclerc,Charles Leclerc,4,4,2,2,2
Russell,George Russell,5,6,5,10,8
Hamilton,Lewis Hamilton,6,5,7,5,1
Albon,Alexander Albon,7,14,10,7,7
Bortoleto,Gabriel Bortoleto,8,8,6,12,11
Antonelli,Kimi Antonelli,9,7,9,NC,5
Hadjar,Isack Hadjar,10,16,8,11,10
Sainz,Carlos Sainz,11,13,13,3,3
Bearman,Oliver Bearman,12,11,NC,14,NC
Tsunoda,Yuki Tsunoda,13,10,15,9,14
Lawson,Liam Lawson,14,20,NC,NC,13
Ocon,Esteban Ocon,15,15,NC,NC,NC
Gasly,Pierre Gasly,16,19,NC,NC,NC
Colapinto,Franco Colapinto,17,18,14,NC,NC
Stroll,Lance Stroll,18,17,NC,13,15
Alonso,Fernando Alonso,DNF,9,12,15,9
Hulkenberg,Nico Hülkenberg,DNS,12,11,8,12
