Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Verstappen,Verstappen,1,1,5,8,5
Norris,Norris,2,2,1,2,1
Piastri,Piastri,3,3,2,1,15
Leclerc,Leclerc,4,4,4,7,3
Russell,Russell,5,5,3,6,2
Antonelli,Antonelli,6,6,13,16,9
Hamilton,Hamilton,7,8,6,4,4
Hadjar,Hadjar,8,7,10,3,8
Albon,Albon,9,9,7,11,11
Bearman,Bearman,10,10,16,15,18
Alonso,Alonso,11,13,15,17,7
Tsunoda,Tsunoda,12,15,9,18,6
Gasly,Gasly,13,11,8,9,14
Sainz,Sainz,14,12 (+3 penalty),11,10,10
Doohan,Doohan,15,19,14,20,12
Hulkenberg,Hulkenberg,16,16,20,12,17
Lawson,Lawson,17,14,12,5,13
Ocon,Ocon,18,18,18,14,19
Bortoleto,Bortoleto,19,17,17,13,20
Stroll,Stroll,20,20,19,19,16
