Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Norris,Lando Norris,1,1,1,4,NC
Leclerc,Charles Leclerc,2,2,2,2,1
Verstappen,Max Verstappen,3,5,4,1,NC
Bearman,Oliver Bearman,4,10,17,17,NC
Piastri,Oscar Piastri,5,8,5,12,4
Antonelli,Kimi Antonelli,6,6,7,3,2
Russell,George Russell,7,4,3,5,NC
Hamilton,Lewis Hamilton,8,3,2,4,NC
Ocon,Esteban Ocon,9,12,12,NC,7
Bortoleto,Gabriel Bortoleto,10,16,10,15,5
Tsunoda,Yuki Tsunoda,11,11,9,NC,8
Albon,Alexander Albon,12,17,16,19,10
Hadjar,Isack Hadjar,13,9,6,14,11
Stroll,Lance Stroll,14,19,13,NC,NC
Gasly,Pierre Gasly,15,18,18,20,NC
Colapinto,Franco Colapinto,16,20,19,18,9
Sainz,Carlos Sainz,17,7,15,NC,NC
Alonso,Fernando Alonso,DNF,14,20,NC,12
Hulkenberg,Nico Hülkenberg,DNF,13,14,16,3
Lawson,Liam Lawson,DNF,15,11,NC,NC
