Surname,Driver,race-result,qualifying,practice/1
Piastri,Piastri,1,4,1
Norris,Norris,2,2,12
Russell,Russell,3,5,7
Verstappen,Verstappen,4,1,3
Albon,Albon,5,7,5
Antonelli,Antonelli,6,3,9
Leclerc,Leclerc,7,8,2
Hamilton,Hamilton,8,12,13
Sainz,Sainz,9,6,4
Tsunoda,Tsunoda,10,10,8
Hadjar,Hadjar,11,11,6
Ocon,Ocon,12,9,18
Gasly,Gasly,13,18,17
Hulkenberg,Hulkenberg,14,16,14
Alonso,Alonso,15,17,10
Stroll,Stroll,16,19,20
Lawson,Lawson,DNF,15,11
Bortoleto,Bortoleto,DNF,13,15
Bearman,Bearman,DNF,20,16
Doohan,Doohan,DNF,14,19
