Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Norris,Norris,1,1,3,4,3
Leclerc,Leclerc,2,2,1,1,1
Piastri,Piastri,3,3,4,2,5
Verstappen,Verstappen,4,5,2,10,2
Hamilton,Hamilton,5,4*,5,3,9
Hadjar,Hadjar,6,6,17,6,13
Ocon,Ocon,7,8,18,19,16
Lawson,Lawson,8,9,7,5,17
Albon,Albon,9,10,6,8,4
Sainz,Sainz,10,11,8,13,7
Russell,Russell,11,14,11,12,6
Bearman,Bearman,12,17*,16,15,15
Colapinto,Colapinto,13,20,20,20,19
Bortoleto,Bortoleto,14,16,19,14,18
Stroll,Stroll,15,19*,15,18,20
Hulkenberg,Hulkenberg,16,13,13,16,12
Tsunoda,Tsunoda,17,12,9,11,14
Antonelli,Antonelli,18,15,10,9,11
Alonso,Alonso,DNF,7,12,7,10
Gasly,Gasly,DNF,18,14,17,8
