Surname,Driver,race-result,qualifying,practice/1
Verstappen,Max Verstappen,1,3,6
Piastri,Oscar Piastri,2,1,1
Sainz,Carlos Sainz,3,7,4
Norris,Lando Norris,4,2,2
Antonelli,Kimi Antonelli,5,5,10
Russell,George Russell,6,4,14
Alonso,Fernando Alonso,7,8,3
Leclerc,Charles Leclerc,8,10,8
Lawson,Liam Lawson,9,12,19
Tsunoda,Yuki Tsunoda,10,16,13
Albon,Alexander Albon,11,15,7
Hamilton,Lewis Hamilton,12,18,12
Bortoleto,Gabriel Bortoleto,13,14,16
Colapinto,Franco Colapinto,14,20,20
Ocon,Esteban Ocon,15,17,17
Gasly,Pierre Gasly,16,9,18
Stroll,Lance Stroll,DNF,19,9
Hadjar,Isack Hadjar,DNF,6,5
Bearman,Oliver Bearman,DNF,13,15
Hulkenberg,Nico Hülkenberg,DNF,11,11
