Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Piastri,Piastri,1,2,2,2,4
Verstappen,Verstappen,2,1,4,3,9
Leclerc,Leclerc,3,4,5,4,3
Norris,Norris,4,10 (DNF Q3),1,1,2
Russell,Russell,5,3,3,7,6
Antonelli,Antonelli,6,5,10,11,13
Hamilton,Hamilton,7,7,12,13,8
Sainz,Sainz,8,6,7,5,7
Albon,Albon,9,11,6,10,5
Hadjar,Hadjar,10,14,11,12,15
Alonso,Alonso,11,13,14,15,14
Lawson,Lawson,12,12,13,14,11
Bearman,Bearman,13,15,16,16,18
Ocon,Ocon,14,19,18,19,19
Hulkenberg,Hulkenberg,15,18,17,9,12
Stroll,Stroll,16,16,20,18,17
Doohan,Doohan,17,17,15,17,16
Bortoleto,Bortoleto,18,20,19,-,20
Tsunoda,Tsunoda,DNF,8,9,6,10
Gasly,Gasly,DNF,9,8,8,1
