Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Russell,George Russell,1,1,3,20,11
Verstappen,Max Verstappen,2,2,1,3,3
Norris,Lando Norris,3,5,5,5,6
Piastri,Oscar Piastri,4,3,2,1,5
Antonelli,Kimi Antonelli,5,4,4,18,14
Leclerc,Charles Leclerc,6,7,10,9,2
Alonso,Fernando Alonso,7,10,15,4,1
Hamilton,Lewis Hamilton,8,6,8,10,4
Bearman,Oliver Bearman,9,9,14,12,16
Sainz,Carlos Sainz,10,DQ,6,8,8
Hadjar,Isack Hadjar,11,8,7,2,7
Tsunoda,Yuki Tsunoda,12,13,18,11,9
Stroll,Lance Stroll,13,15,17,6,18
Albon,Alexander Albon,14,DQ,11,13,20
Lawson,Liam Lawson,15,12,20,17,15
Colapinto,Franco Colapinto,16,16,16,19,19
Bortoleto,Gabriel Bortoleto,17,14,12,15,17
Ocon,Esteban Ocon,18,17,13,7,10
Gasly,Pierre Gasly,19,18,19,16,13
Hulkenberg,Nico Hülkenberg,20,11,9,14,12
