Surname,Driver,race-result,qualifying,practice/3,practice/2,practice/1
Piastri,Piastri,1,1,1,1,5
Norris,Norris,2,2,2,4,1
Leclerc,Leclerc,3,7,3,5,4
Russell,Russell,4,4,4,2,11
Hulkenberg,Hulkenberg,5,16,12,12,14
Hamilton,Hamilton,6,5,9,11,3
Hadjar,Hadjar,7,9,6,9,8
Gasly,Gasly,8,8,16,8,10
Alonso,Alonso,9,10,8,7,13
Verstappen,Verstappen,10*,3,5,3,2
Lawson,Lawson,11,13,10,10,6
Bortoleto,Bortoleto,12,12,11,17,16
Tsunoda,Tsunoda,13,20,14,13,9
Sainz,Sainz,14,18,13,14,15
Colapinto,Colapinto,15,19,17,20,20
Ocon,Ocon,16,17,18,18,7
Bearman,Bearman,17*,15,20,19,7
Antonelli,Antonelli,DNF,6,7,6,18
Albon,Albon,DNF,11,19,15,17**
Stroll,Stroll,DNF,14,15,16,12**
